id_evenement,description
31,"Pièce de théâtre, pièce classique Cyrano de Bergerac"
32,"Spectacle humoriste de Florence Foresti, one-woman show"
33,"Comédie musicale, la vie de Louis XIV avec musiques originales"
34,"Conférence TEDx sur l'innovation et les idées à partager - Édition Paris 2026"
35,"Pièce de théâtre 'Le Prénom', comédie culte jouée en version 2026"
36,"Enregistrement public de l'émission radiophonique 'Les Grosses Têtes'"
37,"Spectacle musical revisitant la vie de Mozart avec des arrangements rock"
38,"Pièce de théâtre 'Art' de Yasmina Reza - Nouvelle mise en scène"
39,"Pièce de théâtre du film 'La Famille Bélier' en comédie musicale"
40,"Spectacle de mentalisme interactif avec participation du public"